date	LDA	TOT	COT
20110401	1.8300864319913501	2.2101218265623497	1.7893047998534535
20110402	0.9891893675694156	1.2978957353650022	0.7946885401810152
20110403	1.0745036033622484	1.3544465339733125	0.8433746473360565
20110404	0.7276519267315822	0.8658273628266168	0.6391869826234906
20110405	0.9028079125064379	1.2863370497656545	0.6759721530388806
20110406	1.7294322161932225	2.334005061292425	1.3462681751257817
20110407	0.9681126816903626	1.2689726400765498	0.7254004849641799
20110408	1.5191744088073227	1.604130665333461	1.0499917934163294
20110409	1.1685138190969644	1.5629449045235657	0.8765898129369593
20110410	1.291746562864146	1.5816726101564695	1.076710252418617
20110411	0.7995202993835198	1.0257200188520696	0.7650954704691605
20110412	0.8344750605077538	1.1283856063400526	0.7055590317428291
20110413	1.161843911669297	1.5313075220585288	1.0122010010989915
20110414	0.8689413019067057	1.2182223240498007	0.6680132533143359
20110415	0.44631520314128115	0.6319693082770628	0.36485162860632886
20110416	0.7150358368053359	0.8230898809557989	0.7123136574002755
20110417	0.702575993900632	0.7993928194043308	0.5415433207217127
20110418	0.6101184854555683	1.1197113532003267	0.5647229353573077
20110419	0.7080664105919263	0.8410518948872617	0.4883208618521643
20110420	1.4740400783899028	1.7405293841213425	0.9838166705202854
20110421	0.8611472983634111	1.1919311437323747	0.7858554524716642
20110422	0.47477077658840605	0.6353062828000067	0.42804600940726883
20110423	0.5080009222727431	0.5900636052848454	0.36902818528197256
20110424	0.12937395782999547	0.3122292765532954	0.0725389095281579
20110425	0.09430469545845199	0.10625748800555221	0.051470595603043165
20110426	0.5555012221451525	0.8131988878304512	0.5237334169595729
20110427	0.5926585815177596	0.98172929667209	0.5227932642776446
20110428	0.131001717525353	0.31465766458875577	0.08963304944175568
20110429	0.20481523433043028	0.30802460949530924	0.2705612485471817
20110430	0.3108641608148879	0.359101535477105	0.32029937585770474
20110501	0.4955309515958429	0.6219121210879215	0.5068625441337589
20110502	0.5441918949579001	0.6698427547583522	0.539386945745513
20110503	0.11907520020079683	0.1983808256006085	0.08289555198080092
