date	LDAv	TOT
20111212	0.07076681832078609	0.19281476449789828
20111213	0.18505689268792969	0.1940627070185332
20111214	0.2384490798486561	0.17200798159421385
20111215	0.50667886514532	0.2688347237147512
20111216	0.19687456553798643	0.17599386496254824
20111217	0.005321166877650218	0.02499151361216609
20111218	0.04947468730114152	0.06565099158713665
20111219	0.06404742152276922	0.12352288528417187
20111220	0.10784500187950316	0.14664223914790178
20111221	0.09405829925163603	0.16252293914119217
20111222	0.08238950347164381	0.151817748559815
20111223	0.04523188646662301	0.08439901151502965
20111224	0.011596989199702763	0.08844115959636867
20111225	0.005340293203832664	0.02514124293785311
20111226	0.022864052878743477	0.04839201098964421
20111227	0.034560804777636386	0.0781072849666597
20111228	0.051749117204536524	0.11805213306595287
20111229	0.058770746153558096	0.06492273714494806
