Steve Jobs   Apple Inc.   Walter Isaacson   Macintosh   Steve Wozniak   Product (business)   NeXT   Dell   Bill Gates   IPhone   
Startup company   Entrepreneur   Seed   Investor   Seed money   Angel   Ship naming and launching   TechCrunch   Y Combinator   Angel investor   
Google   Map   Web search engine   Google Maps   Blog   Google (verb)   Gmail   Information retrieval   Bit   Eric Schmidt   
Computer network   Social network   LinkedIn   Skype   Online and offline   Social networking service   Message   Online chat   Computing platform   SMS   
Publishing   Digital   Online and offline   Education   Magazine   College   Textbook   Computing platform   Startup company   University   
Facebook   News   Web feed   Graph (mathematics)   Social network   Privacy   Timeline   Spam (electronic)   Facebook features   Social graph   
Smartphone   Nokia   Microsoft Windows   Android (operating system)   Mobile phone   Windows Phone 7   Market   BlackBerry   Research In Motion   IOS (Apple)   
Augusta National Golf Club   Chief executive officer   Yahoo!   Vice president   President   Executive (government)   Film director   Headphones   Chairman   Scott Thompson   
Initial public offering   Groupon   Stock   Market   Share (finance)   Investor   Mark Zuckerberg   Valuation (finance)   Shareholder   Zynga   
1000000000 (number)   Revenue   2011   Cash   Mergers and acquisitions   2010   Chief executive officer   Fiscal year   2012   Business   
Cloud   Cloud computing   Security   Server (computing)   Dropbox (service)   Computer software   Computer file   Folder (computing)   Information technology   Uploading and downloading   
Video   YouTube   Film   Technology   Record producer   The Walt Disney Company   Watch   Mass media   Online and offline   Video hosting service   
Mobile phone   Merchant   PayPal   Credit (finance)   Credit card   National Football Conference   Mobile payment   Consumer   Bank   Wallet   
Internet   Jimmy Wales   United States   Government   Politics   Program on International Policy Attitudes   Pornography   Reddit   Piracy   President of the United States   
Denial-of-service attack   Hacker (computer security)   Renting   Zillow.com   Real estate   Craigslist   Marketplace   StumbleUpon   Trust law   Apartment   
Business   Marketing   Management   Customer   Salesforce.com   Computer software   Computing platform   Software as a service   Analytics   Customer relationship management   
Silicon Valley   Entrepreneur   Silicon   Innovation   Startup company   United States   Technology   Economy   Tax   Energy   
Consumer Electronics Show   Yammer   Electronics   Consumer   Microsoft   Sony   Manufacturing   Consumer electronics   Gadget   Technology   
Camera   Inch   Bit   Hardware   Battery (electricity)   Central processing unit   MacBook   High-definition television   USB   MacBook Pro   
