Salmaan Taseer  Ilyas Kashmiri  Laurent Gbagbo  Alassane Ouattara  Ratko Mladic  Ivory Coast  United Nations  May 21  Abidjan  Ellen Johnson Sirleaf  LulzSec  Josefa Iloilo  John Demjanjuk  War crime  Srebrenica  War  Serbia  France  Ivory  Serbs  Ieng Thirith  Tibet  Liberia  Khmer Rouge  Blasphemy  Standard Tibetan  Kosovo  The Hague  Tribunal  Monk  
Rebekah Brooks  News of the World  Rupert Murdoch  News International phone hacking scandal  News Corporation  Murder of Milly Dowler  News International  Clive Goodman  John Whittingdale  Chris Bryant  Phone hacking  Tabloid  Brian Leveson  BSkyB  United Kingdom  Hacker (computer security)  Shilling  Scotland Yard  Police  Culture, Media and Sport Committee  Editing  Newspaper  The Sun (United Kingdom)  Tracy Brookshaw  Scandal  Parliament of the United Kingdom  London  News  Voicemail  Member of Parliament  
1.8640964844414144E-4  1.8429453157607208E-4  1.8238100477233556E-4  1.7261533858087052E-4  1.6305901632501234E-4  1.3134338234982722E-4  1.2115920514375117E-4  1.168507011245479E-4  1.1443351536780779E-4  1.1408335265365094E-4  1.1362920952165187E-4  1.1310626020194E-4  1.1169110651968387E-4  1.0889602262338145E-4  1.0832226488642593E-4  1.0695762030423742E-4  9.413358867798215E-5  9.370571477012125E-5  9.36488452506888E-5  9.232510836444001E-5  9.048838939441868E-5  9.015718884164249E-5  8.983948569381693E-5  8.708846915857712E-5  8.518697159868469E-5  8.375388513785359E-5  8.257554903707031E-5  8.132632868846262E-5  8.100337850575647E-5  8.024197108376869E-5  
Hosni Mubarak  Muslim Brotherhood  Egypt  Tahrir Square  Fazul Abdullah Mohammed  Bahrain  Frank G. Wisner  Omar Suleiman  Cairo  Mohamed ElBaradei  Egyptians  Marouf al-Bakhit  Mohamed Hussein Tantawi  Gamal Mubarak  Wael Ghonim  Government  Mohamed Abdullahi Farmajo  United States  Protest  Mehdi Karroubi  Military  Revolution  Egyptian Armed Forces  State of the Union address  Democracy  Coptic Orthodox Church of Alexandria  April 6 Youth Movement  Shilling  Muslim  Politics of Egypt  
0.002401034493893118  0.0023869344885054282  0.0023559737723625337  0.002256846083438259  0.0021715776317522166  0.0020757437822753622  0.0020397198394167654  0.0020009131974084936  0.0019686253882987455  0.001913840956944759  0.0018320266295684306  0.001739303038699196  0.0016906276125328572  0.0016853955974265849  0.0016824717188662713  0.0016606758248527758  0.0015917040908739026  0.0015664775036655298  0.0014961310467331032  0.0014716845785749083  0.0014354516209273826  0.0014160267237092379  0.0014069916144911888  0.0013858585027889496  0.00131594284552847  0.0012678375023091092  0.00123961210559617  0.0011827304929457078  0.0011721531036590126  0.0011706892473685882  
Ahmed Wali Karzai  Sendai  Tsunami  Miyagi Prefecture  Japan  True Finns  Minamisanriku, Miyagi  Kesennuma, Miyagi  Earthquake  National Coalition Party  Sendai Airport  Rikuzentakata, Iwate  July 4  Revolutionary Armed Forces of Colombia  2004 Indian Ocean earthquake and tsunami  Richter magnitude scale  Ishinomaki, Miyagi  Tsunami warning system  Hamid Karzai  March 11  Kandahar  Tokyo  Epicenter  Aftershock  Honshu  Afghanistan  Operation Tomodachi  United States  United States Geological Survey  Japanese language  
6.422978325232015E-4  6.034994990004413E-4  5.975758341679278E-4  5.662590784418195E-4  5.222357354536838E-4  5.109365463780072E-4  5.047199831918327E-4  4.83937793024439E-4  4.7785116906355656E-4  4.689781274136639E-4  4.527638230495745E-4  4.527613516525271E-4  4.5015846993262535E-4  4.15967227013813E-4  4.141879202054021E-4  3.834160573669745E-4  3.791609615088742E-4  3.77898125426538E-4  3.610477102704186E-4  3.580080073700447E-4  3.557033349777695E-4  3.5277622485471206E-4  3.526425708613931E-4  3.499586831987876E-4  3.3557614754686337E-4  3.303806591303782E-4  3.27707663063909E-4  3.237452938014761E-4  3.178646413034394E-4  3.1711552000593775E-4  
China  Government  Police  United States  Shilling  City  Beijing  William J. Bratton  Family (biology)  Riot  Water  Independent Police Complaints Commission  News  Crime  United Kingdom  Mexico  Economy  Internet  Ai Weiwei  South Korea  Brazil  Second  Village  Korea  Mass media  Newspaper  Communism  Business  Looting  Country music  
0.0026883201781342683  0.002673819631314867  0.0026240963107748766  0.0026014345108780865  0.0023899654396457616  0.00236270219824129  0.0022825314612347504  0.002254852385239942  0.002243339640852016  0.0022350398949809724  0.002213667343003662  0.0021690242857196895  0.0021657443979172892  0.002136900711370299  0.0020960688895680225  0.0020896813335772504  0.002082012704579576  0.0019895796031966393  0.0019863939300419275  0.0019793952213373353  0.001975656348640644  0.0019739991952338626  0.001972894610905066  0.001971983900004501  0.001957349131966593  0.0019450797762192767  0.0019388552762537555  0.001896227828804412  0.0018514312568420706  0.0018266495795767358  
Jean-Claude Duvalier  United Russia  Russia  Politics  Prison  Potassium iodide  Election  Government  Human rights  Lawyer  Court  Police  Prosecutor  President  Law  President of the United States  Shilling  Russian language  Human  News  Judge  Vladimir Putin  Trial  Democracy  Protest  Moscow  Crime  Journalist  Justice  Haiti  
0.004987436922415425  0.004934961231463781  0.004838251968409267  0.0048088155558182865  0.004632749530221829  0.004356454271535881  0.003988152714230049  0.003957143175648088  0.003902607242650062  0.0035880816352272574  0.003541249792736731  0.003497570641924196  0.003191465556456948  0.0031793650387013793  0.003170315055886272  0.003152866511535077  0.003082739142811456  0.003081736121241867  0.003005401436513422  0.002985667081656342  0.0029216178362421047  0.002869422070293303  0.0028651792105259147  0.002801390322038411  0.0027201529605656925  0.0027082590145208326  0.0026817504079653842  0.00267052439818551  0.002648233327316072  0.0025966100494023707  
Rebekah Brooks  News of the World  Rupert Murdoch  James Murdoch (media executive)  Andy Coulson  News International phone hacking scandal  Murder of Milly Dowler  News Corporation  News International  Clive Goodman  Paul Stephenson (police officer)  Phone hacking  BSkyB  John Whittingdale  John Yates (police officer)  Hacker (computer security)  Scotland Yard  United Kingdom  Tom Watson (golfer)  Police  Tabloid  Shilling  Newspaper  Scandal  Tracy Brookshaw  London  Editing  July 8  David Cameron  The News (Adelaide)  
1.796010537169084E-4  1.7210712505433905E-4  1.588076351057342E-4  1.5197833319177705E-4  1.4189071184256367E-4  1.3067694635119175E-4  1.2818079547567853E-4  1.23036076678701E-4  1.1933862805996298E-4  1.1565624774225731E-4  1.0948748461580956E-4  1.028145283018129E-4  9.719311268612306E-5  9.648624767320551E-5  9.610574357228347E-5  9.52064992656575E-5  9.392430734840719E-5  9.20321102178425E-5  8.860946218020319E-5  8.796742789256865E-5  8.48718629418659E-5  8.442513547312059E-5  8.163581469218378E-5  8.112748109050246E-5  7.821935035512438E-5  7.818295679990202E-5  7.808661601252403E-5  7.790207223704355E-5  7.520645393642362E-5  7.392924807392306E-5  
Mario Monti  Nayef bin Abdul-Aziz Al Saud  Sultan bin Abdul-Aziz Al Saud  Silvio Berlusconi  Technocracy  Giorgio Napolitano  Italy  European Central Bank  Euro  Greece  Politics  European Union  Shilling  Government  Mario Draghi  Ethnic groups in Europe  Economist  Prime minister  Debt  Market  Bank  Eurozone  Ibn Saud of Saudi Arabia  House of Saud  Politics of Italy  Europe  Italian Senate  Sultan  Central bank  Tax  
3.0291972437697287E-4  2.7480774267631906E-4  2.660993580337437E-4  2.568215080221893E-4  2.523469689971127E-4  2.450632245494749E-4  2.350339414801927E-4  2.161065648478335E-4  2.0367470241679567E-4  1.9472345020004963E-4  1.9051704976792214E-4  1.7746339254614467E-4  1.7457082437727297E-4  1.7067533550143226E-4  1.6442577840632887E-4  1.6399238770158092E-4  1.6057292092579788E-4  1.5689634786732922E-4  1.5673481080806948E-4  1.5631318311275027E-4  1.4988214520445664E-4  1.487762442796192E-4  1.4857802142997288E-4  1.4672814276736826E-4  1.4185401604650634E-4  1.4160183475554018E-4  1.3932012473709887E-4  1.3735590039112117E-4  1.3575289890229393E-4  1.3506892425124822E-4  
Abbottabad  Osama bin Laden  Burial at sea  Madame Ngo Dinh Nhu  Death of Osama bin Laden  Al-Qaeda  John O. Brennan  Tora Bora  Pakistan  Inter-Services Intelligence  Islamabad  May 2  United States Navy SEALs  United States  Terrorism  Taliban  Demographics of Pakistan  Osama bin Laden's compound in Abbottabad  Arabian Sea  Central Intelligence Agency  Ahmad Shuja Pasha  Afghanistan  Raid (military)  Militant  Intelligence assessment  Military  Peshawar  Pakistani Armed Forces  Barack Obama  White House  
1.745490750280155E-4  1.7371371379315643E-4  1.7338190005846958E-4  1.6069300806737292E-4  1.4992523263929772E-4  1.493343146474169E-4  1.2713351727858052E-4  1.2167108717466879E-4  1.1997997307901783E-4  1.1969350269493911E-4  1.1479437728732792E-4  1.113928683638545E-4  1.0765373188426197E-4  9.942135747709427E-5  9.671878481615762E-5  9.455812569291202E-5  9.386725435693206E-5  9.369038656853691E-5  9.339078507851013E-5  9.308361626844355E-5  9.199685751191859E-5  9.049507483650615E-5  8.857181472485041E-5  8.723007585020162E-5  8.371620172885016E-5  8.308995390951384E-5  8.261085549704992E-5  7.593176550814165E-5  7.292518047317773E-5  7.168649360867534E-5  
United States  Afghanistan  Military  Iraq  Tariq Al-Hashimi  Iran  Pakistan  Taliban  Al-Qaeda  Government  Security  Barack Obama  NATO  Police  Bomb  Insurgency  Ante Gotovina  Terrorism  War  President of the United States  Haqqani network  Suicide  Militant  United States Armed Forces  Washington (state)  Diplomacy  Iraqi people  United States Army  Burhanuddin Rabbani  Baghdad  
0.004609375568864441  0.004541994299198693  0.004376616501343974  0.004304381085457991  0.0041717135433814246  0.004108125511724221  0.00399281462728698  0.003873737341362889  0.003847384693075799  0.003682872045862698  0.0036762243851030285  0.0036750771597495696  0.0035457533469139225  0.0034904275214866116  0.0034786978538261367  0.0034601230762951454  0.003419266212920172  0.003369866498941313  0.0032803127194471326  0.003262922408275736  0.003255482297421877  0.0031782468767609586  0.0030872377625425166  0.0030672098647683654  0.003038232832017576  0.0029503896600774565  0.002943150607386066  0.0028859891403832318  0.002885138517270488  0.0028364443932318044  
